0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:21 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:44 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:44 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:54 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:27:54 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:01 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:01 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:39 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:28:39 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:25 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:25 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:39 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:39 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:52 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:29:52 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:04 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:04 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:27 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:27 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:54 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:30:54 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 293
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:14 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:31:14 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 293
